seed,batch_size,norm,accuracy
1,32,Group Norm,0.8580999970436096
2,32,Group Norm,0.8579000234603882
3,32,Group Norm,0.8507000207901001
4,32,Group Norm,0.8560000061988831
5,32,Group Norm,0.8622000217437744
1,32,Batch Norm,0.8622000217437744
2,32,Batch Norm,0.8646000027656555
3,32,Batch Norm,0.8618999719619751
4,32,Batch Norm,0.8672000169754028
5,32,Batch Norm,0.8611000180244446
1,16,Group Norm,0.8583999872207642
2,16,Group Norm,0.8557000160217285
